AGAF	AFT		Afutara Airport	Afutara, Solomon Islands
ZHCC	CGO		Zhengzhou Xinzheng International Airport	Zhengzhou, Henan, China
ZHES	ENH		Enshi Airport	Enshi, Hubei, China
ZHGH	LHK		Guanghua Airport	Guanghua, Hubei, China
ZHHH	WUH		Wuhan Tianhe International Airport	Wuhan, Hubei, China
ZHLY	LYA		Luoyang Beijiao Airport	Luoyang, Henan, China
ZHNY	NNY		Nanyang Airport	Nanyang, Henan, China
ZHXF	XFN		Xiangfan Airport	Xiangfan, Hubei, China
ZHYC	YIH		Yichang Sanxia Airport	Yichang, Hubei, China
ZJHK	HAK		Haikou Meilan International Airport	Haikou, Hainan, China
ZJSY	SYX		Sanya Fenghuang International Airport	Hainan Island, China
ZKPY	FNJ		Sunan International Airport	Pyongyang, North Korea
ZLAK	AKA		Ankang Airport	Ankang, Shaanxi, China
ZLDH	DNH		Dunhuang Airport	Dunhuang, Gansu, China
ZLGM	GOQ		Golmud Airport	Golmud, Qinghai, China
ZLHZ	HZG		Hanzhong Airport	Hanzhong, Shaanxi, China
ZLIC	INC		Yinchuan Airport (Hedong Airport)	Yinchuan, Ningxia, China
ZLJN	JNG		Jining Airport	Jining, Shandong, China
ZLJQ	JGN		Jiayuguan Airport	Jiayuguan, Gansu, China
ZLLD	LZD		Lanzhou East Airport	Lanzhou, Gansu, China
ZLLL	ZGC		Lanzhou Zhongchuan Airport (Lanzhou West Airport)	Lanzhou, Gansu, China
ZLQY	IQN		Qingyang Airport	Qingyang, Gansu, China
ZLSN	SIA		Xiguan Airport	Xi'an, Shaanxi, China
ZLXN	XNN		Xining Caojiabu Airport	Xining, Qinghai, China
ZLXY	XIY		Xi'an Xianyang International Airport	Xianyang, Shaanxi, China
ZLYA	ENY		Yan'an Ershilibao Airport	Yan'an, Shaanxi, China
ZLYS	YUS		Yushu Batang Airport	Yushu County, Qinghai, China
ZLZW	ZHY		Zhongwei Xiangshan Airport	Zhongwei, Ningxia, China
ZMAH	AVK		Arvaikheer Airport	Arvaikheer, Mongolia
ZMAT	LTI		Altai Airport	Altai, Govi-Altai, Mongolia
ZMBH	BYN		Bayankhongor Airport	Bayankhongor, Mongolia
ZMBN	UGA		Bulgan Airport	Bulgan, Mongolia
ZMCD	COQ		Choibalsan Airport	Choibalsan, Mongolia
ZMDZ	DLZ		Omnogobi Airport	Dalanzadgad, Mongolia
ZMHH	KHR		Kharkhorin Airport	Kharkhorin, Mongolia
ZMHU	HJT		Khujirt Airport	Khujirt, Övörkhangai, Mongolia
ZMKD	HVD		Khovd Airport	Khovd, Mongolia
ZMMG	MXW		Mandalgovi Airport	Mandalgovi, Dundgovi, Mongolia
ZMMN	MXV		Mörön Airport	Mörön, Khövsgöl Province, Mongolia
ZMTG	TSZ		Tsetserleg Airport	Tsetserleg, Arkhangai, Mongolia
ZMUB	ULN		Chinggis Khaan International Airport	Ulan Bator, Mongolia
ZMUG	ULO		Ulaangom Airport	Ulaangom, Uvs Province, Mongolia
ZMUH	UNR		Öndörkhaan Airport	Öndörkhaan, Khentii, Mongolia
ZMUL	ULG		Ölgii Airport	Bayan-Ölgii Province, Mongolia
ZPBS	BSD		Baoshan Airport	Baoshan, Yunnan, China
ZPDL	DLU		Dali Airport	Dali, Yunnan, China
ZPDQ	DIG		Diqing Airport	Diqing, Yunnan, China
ZPJH	JHG		Xishuangbanna Gasa Airport	Jinghong, Xishuangbanna, Yunnan, China
ZPLC	LNJ		Lincang Airport	Lincang, Yunnan, China
ZPLJ	LJG		Lijiang Sanyi Airport	Lijiang City, Yunnan, China
ZPMS	LUM		Dehong Mangshi Airport	Mang City, Yunnan, China
ZPPP	KMG		Kunming Wujiaba International Airport	Kunming, Yunnan, China
ZPWS	WNH		Wenshan Airport	Wenshan, Yunnan, China
ZPYM	YUA		Yuanmou Airport	Yuanmou, Yunnan, China
ZPZT	ZAT		Zhaotong Airport	Zhaotong, Yunnan, China
ZSAM	XMN		Xiamen Gaoqi International Airport	Xiamen, Fujian, China
ZSAQ	AQG		Anqing Tianzhushan Airport	Anqing, Anhui, China
ZSBB	BFU		Bengbu Airport	Bengbu, Anhui, China
ZSCG	CZX		Changzhou Benniu Airport	Changzhou, Jiangsu, China
ZSCN	KHN		Nanchang Changbei International Airport	Nanchang, Jiangxi, China
ZSFY	FUG		Fuyang Airport	Fuyang, Anhui, China
ZSFZ	FOC		Fuzhou Changle International Airport	Fuzhou, Fujian, China
ZSGZ	KOW		Ganzhou Huangjin Airport	Ganzhou, Jiangxi, China
ZSHC	HGH		Hangzhou Xiaoshan International Airport	Hangzhou, China
ZSJA	JGS		Jinggangshan Airport	Ji'an, Jiangxi, China
ZSJD	JDZ		Jingdezhen Airport	Jingdezhen, Jiangxi, China
ZSJJ	JIU		Jiujiang Lushan Airport	Jiujiang, Jiangxi, China
ZSJN	TNA		Jinan Yaoqiang International Airport	Jinan, Shandong, China
ZSJU	JUZ		Quzhou Airport	Quzhou, Zhejiang, China
ZSLG	LYG		Lianyungang Baitabu Airport	Lianyungang, Jiangsu, China
ZSLD	LCX		Longyan Guanzhishan Airport	Longyan, Fujian, China
ZSLQ	HYN		Taizhou Luqiao Airport	Taizhou, Zhejiang, China
ZSLY	LYI		Linyi Shubuling Airport	Linyi, Shandong, China
ZSNB	NGB		Ningbo Lishe International Airport	Ningbo, Zhejiang, China
ZSNJ	NKG		Nanjing Lukou International Airport	Nanjing, China
ZSOF	HFE		Hefei Luogang International Airport	Hefei, Anhui, China
ZSPD	PVG		Shanghai Pudong International Airport	Shanghai, People's Republic of China
ZSQD	TAO		Qingdao Liuting International Airport	Qingdao, Shandong, China
ZSQZ	JJN		Quanzhou Jinjiang Airport	Jinjiang City, Quanzhou, Fujian, China
ZSRG	RUG		Rugao Air Base	Rugao, Jiangsu, China
ZSSH	HIA		Huai'an Lianshui Airport	Huai'an, Jiangsu, China
ZSSS	SHA		Shanghai Hongqiao International Airport	Shanghai, China
ZSSZ	SZV		Suzhou (Guangfu) Airport	Suzhou (near Shanghai), China
ZSWF	WEF		Weifang Airport	Weifang, Shandong, China
ZSWH	WEH		Weihai Dashuibo Airport	Weihai, Shandong, China
ZSWX	WUX		Sunan Shuofang International Airport	Wuxi/Suzhou, Jiangsu, China
ZSWZ	WNZ		Wenzhou Yongqiang Airport	Wenzhou, Zhejiang, China
ZSXZ	XUZ		Xuzhou Airport	Xuzhou, Jiangsu, China
ZSYA	YTY		Yangzhou Taizhou Airport	Yangzhou and Taizhou, Jiangsu, China
ZSYN	YNZ		Yancheng Nanyang Airport	Yancheng, Jiangsu, China
ZSYT	YNT		Yantai Laishan International Airport	Yantai, Shandong, China
ZSYW	YIW		Yiwu Airport	Yiwu, Zhejiang, China
ZSZS	HSN		Zhoushan Putuoshan Airport	Zhoushan, Zhejiang, China
ZUAL	NGQ		Ngari Gunsa Airport	Ngari Prefecture, Tibet Autonomous Region, China
ZUAS	AVA		Anshun Huangguoshu Airport	Anshu, Guizhou Province, China
ZUBD	BPX		Qamdo Bangda Airport	Qamdo Prefecture, Tibet Autonomous Region, China
ZUCK	CKG		Chongqing Jiangbei International Airport	Chongqing, China
ZUDX	DAX		Dachuan Airport (Daxian Airport)	Dazhou, Sichuan, China
ZUDZ	DZU		Dazu Airport	Dazu, China
ZUGH	GHN		Guanghan Airport	Guanghan, Sichuan, China
ZUGU	GYS		Guangyuan Airport	Guangyuan, Sichuan, China
ZUGY	KWE		Guiyang Longdongbao International Airport	Guiyang, Guizhou, China
ZUJZ	JZH		Jiuzhaigou Huanglong Airport	Songpan County, Sichuan, China
ZULB	LLB		Libo Airport	Libo County, Guizhou, China
ZULP	LIA		Liangping Airport	Liangping, Chongqing, China
ZULS	LXA		Lhasa Gonggar Airport	Lhasa, Tibet Autonomous Region, China
ZULZ	LZO		Luzhou Lantian Airport	Luzhou, Sichuan, China
ZUMY	MIG		Mianyang Nanjiao Airport	Mianyang, Sichuan, China
ZUNC	NAO		Nanchong Airport	Nanchong, Sichuan, China
ZUNP	HZH		Liping Airport	Liping County, Guizhou, China
ZUNZ	LZY		Nyingchi Airport	Nyingchi, Tibet Autonomous Region, China
ZURK	RKZ		Shigatse Peace Airport	Shigatse, Tibet Autonomous Region, China
ZUTC	TCZ		Tengchong Tuofeng Airport	Tengchong, Yunnan, China
ZUTR	TEN		Tongren Fenghuang Airport	Tongren, Guizhou, China
ZUUU	CTU		Chengdu Shuangliu International Airport	Chengdu, Sichuan, China
ZUWX	WXN		Wanzhou Wuqiao Airport	Wanzhou, Chongqing, China
ZUXC	XIC		Xichang Qingshan Airport	Qingshan, China
ZUYB	YBP		Yibin Caiba Airport	Yibin, Sichuan, China
ZUZY	ZYI		Zunyi Airport	Zunyi, Guizhou, China
ZWAK	AKU		Aksu Airport	Aksu, Xinjiang, China
ZWAT	AAT		Altay Airport	Altay, Xinjiang, China
ZWBL	BPL		Bole Alashankou Airport	Bole, Xinjiang, China
ZWCM	IQM		Qiemo Airport	Qiemo, Xinjiang, China
ZWFY	FYN		Fuyun Airport	Fuyun, Xinjiang, China
ZWHM	HMI		Hami Airport	Hami City, Xinjiang, China
ZWKC	KCA		Kuqa Qiuci Airport	Kuqa, Xinjiang, China
ZWKL	KRL		Korla Airport	Korla, Xinjiang, China
ZWKM	KRY		Karamay Airport	Karamay, Xinjiang, China
ZWKN	KJI		Kanas Airport	Burqin County, Xinjiang, China
ZWNL	NLT		Nalati Airport	Künes, Xinjiang, China
ZWSH	KHG		Kashgar Airport (Kashi Airport)	Kashgar, Xinjiang, China
ZWTN	HTN		Hotan Airport	Hotan, Xinjiang, China
ZWTP	TLQ		Turpan Jiaohe Airport	Turpan, Xinjiang, China
ZWWW	URC		Ürümqi Diwopu International Airport	Ürümqi, Xinjiang, China
ZWYN	YIN		Yining Airport	Yining, Xinjiang, China
ZYAS	AOG		Anshan Teng'ao Airport	Anshan, Liaoning, China
ZYCC	CGQ		Changchun Longjia International Airport	Changchun, Jilin, China
ZYCH	CNI		Changhai Airport	Changhai, China
ZYCY	CHG		Chaoyang Airport	Chaoyang, Liaoning, China
ZYDD	DDG		Dandong Airport	Dandong, China
ZYHB	HRB		Harbin Taiping International Airport	Harbin, Heilongjiang, China
ZYHE	HEK		Heihe Airport	Heihe, Heilongjiang, China
ZYJL	JIL		Jilin Ertaizi Airport	Jilin City, Jilin, China
ZYJM	JMU		Jiamusi Dongjiao Airport	Jiamusi, Heilongjiang, China
ZYJX	JXA		Jixi Xingkaihu Airport	Jixi, Heilongjiang, China
ZYJZ	JNZ		Jinzhou Airport	Jinzhou, Liaoning, China
ZYMD	MDG		Mudanjiang Airport	Mudanjiang, Heilongjiang, China
ZYMH	OHE		Mohe Gulian Airport	Mohe, Heilongjiang, China
ZYTL	DLC		Dalian Zhoushuizi International Airport	Dalian, Liaoning, China
ZYTN	TNH		Tonghua Sanyuanpu Airport	Tonghua, Jilin, China
ZYTX	SHE		Shenyang Taoxian International Airport	Shenyang, China
ZYXC	XEN		Xingcheng Airport	Xingcheng, Liaoning, China
ZYYL	YLN		Yilan Airport	Yilan, Heilongjiang, China
	AAJ		Cayana Airstrip	Awaradam, Suriname
	AAS		Apalapsili Airport	Apalapsili, Indonesia
	ABG		Abingdon Airport	Abingdon, Queensland, Australia
	ABP		Atkamba Airport	Atkamba, Papua New Guinea
	ABW		Abau Airport	Abau, Papua New Guinea
	ACM		Arica Airport	Arica, Amazonas, Colombia
	ACU		Achutupo Airport	Achutupo, Panama
	ADC		Andakombe Airport	Andakombe, Papua New Guinea
	AED		Aleneva Airport	Aleneva, Alaska, United States
	AEK		Aseki Airport	Aseki, Papua New Guinea
	AFR		Afore Airport	Afore, Papua New Guinea
	AGD		Anggi Airport	Anggi, Indonesia
	AGG		Angorarn Airport	Angorarn, Papua New Guinea
	AGK		Kagua Airport	Kagua, Papua New Guinea
	AGL		Wanigela Airport	Wanigela, Papua New Guinea
	AGW		Agnew Airport	Agnew, Queensland, Australia
	AGY		Argyle Downs Airport	Argyle Downs, Western Australia, Australia
	AHD	1F0	Ardmore Downtown Executive Airport (FAA: 1F0)	Ardmore, Oklahoma, United States
	AHF	37V	Arapahoe Municipal Airport (FAA: 37V)	Arapahoe, Nebraska, United States
	AHS		Ahuas Airport	Ahuas, Honduras
	AHY		Ambatolahy Airport	Ambatolahy, Madagascar
	AIC		Airok Airport	Airok, Marshall Islands
	AIE		Aiome Airport	Aiome, Papua New Guinea
	AIH		Aiambak Airport	Aiambak, Papua New Guinea
	AIL		Ailigandi Airport	Ailigandi, Panama
	AIM		Ailuk Airport	Ailuk, Marshall Islands
	AIP		Ailinglaplap Airport	Ailinglaplap Atoll, Marshall Islands
	AIR		Aripuanã Airport	Aripuanã, Mato Grosso, Brazil
	AIW		Ai-Ais Airport	Ai-Ais, Namibia
	AJO		Aljouf Airport	Aljouf, Yemen
	AJS		Abreojos Airport	Abreojos, Baja California Sur, Mexico
	AKG		Anguganak Airport	Anguganak, Papua New Guinea
	AKM		Zakouma Airport	Zakouma, Chad
	ALE	E38	Alpine-Casparis Municipal Airport (FAA: E38)	Alpine, Texas, United States
	ALK		Asella Airport	Asella, Ethiopia
	ALT		Alenquer Airport	Alenquer, Pará, Brazil
	ALV		Andorra La Vella Airport	Andorra la Vella, Andorra
	ALZ		Alitak Seaplane Base	Lazy Bay, Alaska, United States
	AME		Alto Molocue Airport	Alto Molocue, Mozambique
	AMF		Ama Airport	Ama, Papua New Guinea
	AMG		Amboin Airport	Amboin, Papua New Guinea
	AMK	00C	Animas Air Park (FAA: 00C)	Durango, Colorado, United States
	AML		Puerto Armuellas Airport	Puerto Armuellas, Panama
	AMR		Arno Airport	Arno, Marshall Islands
	AMU		Amanab Airport	Amanab, Papua New Guinea
	AMX		Ammaroo Airport	Ammaroo, Northern Territory, Australia
	AMY		Ambatomainty Airport	Ambatomainty, Madagascar
	ANH		Anuha Island Resort Airport	Anuha Island Resort, Solomon Islands
	ANL		Andulo Airport	Andulo, Angola
	ANT		St. Anton Airport	St. Anton, Austria
	ANZ		Angus Downs Airport	Angus Downs, Northern Territory, Australia
	AOA		Aroa Airport	Aroa, Papua New Guinea
	AOB		Annanberg Airport	Annanberg, Papua New Guinea
	AOD		Abou-Deia Airport	Abou-Deia, Chad
	AON		Arona Airport	Arona, Papua New Guinea
	AOS	AK81	Amook Bay Seaplane Base (FAA: AK81)	Amook Bay, Alaska, United States
	APP		Asapa Airport	Asapa, Papua New Guinea
	APR		April River Airport	April River, Papua New Guinea
	AQM		Ariquemes Airport	Ariquemes, Rondônia, Brazil
	AQS		Saqani Airport	Saqani, Fiji
	ARF		Acaricuara Airport	Acaricuara, Colombia
	ARO		Arboletas Airport	Arboletas, Colombia
	ARP		Aragip Airport	Aragip, Papua New Guinea
	ARQ		Arauquita Airport (El Troncal)	Arauquita, Colombia
	ARX		Asbury Park Neptune Airport (closed 1977)	Asbury Park, New Jersey, United States
	ASQ	9U3	Austin Airport (FAA: 9U3)	Austin, Nevada, United States
	ASZ		Asirim Airport	Asirim, Papua New Guinea
	ATE	80F	Antlers Municipal Airport (FAA: 80F)	Antlers, Oklahoma, United States
	ATG		Attock Airport	Attock, Pakistan
	ATN		Namatanai Airport	Namatanai, Papua New Guinea
	ATP		Aitape Airstrip	Aitape, Papua New Guinea
	ATT	4A2	Atmautluak Airport (FAA: 4A2)	Atmautluak, Alaska, United States
	ATX		Atbasar Airport	Atbasar, Kazakhstan
	AUB		Itauba Airport	Itauba, Mato Grosso, Brazil
	AUE		Abu Rudeis Airport	Abu Rudeis, Egypt
	AUI		Aua Island Airport	Aua Island, Papua New Guinea
	AUJ		Ambunti Airport	Ambunti, Papua New Guinea
	AUK		Alakanuk Airport	Alakanuk, Alaska, United States
	AUL		Aur Airport	Aur Atoll, Marshall Islands
	AUP		Agaun Airport	Agaun, Papua New Guinea
	AUQ		Atuona Airport	Atuona, Marquesas Islands, French Polynesia
	AUV		Aurno Airport	Aurno, Papua New Guinea
	AVF		Avoriaz Airport	Avoriaz, France
	AWB		Awaba Airport	Awaba, Papua New Guinea
	AWE		Alowe Airport	Alowe, Gabon
	AWH		Awareh Airport	Awareh, Ethiopia
	AWN		Afton Downs Airport	Afton Downs, South Australia, Australia
	AWP		Austral Downs Airport	Austral Downs, Northern Territory, Australia
	AWR		Awar Airport	Awar, Papua New Guinea
	AXB	89N	Maxson Airfield (FAA: 89N)	Alexandria Bay, New York, United States
	AXE		Xanxere Airport	Xanxerê, Santa Catarina, Brazil
	AXL		Alexandria Airport	Alexandria, Northern Territory, Australia
	AYA		Ayapel Airport	Ayapel, Colombia
	AYC		Ayacucho Airport	Ayacucho, Peru
	AYD		Alroy Downs Airport	Alroy Downs, Northern Territory, Australia
	AYE		Moore Army Airfield (Fort Devens) (closed 1995-2000)	Leominster, Massachusetts, United States
	AYI		Yari Airport	Yari, Colombia
	AYL		Anthony Lagoon Airport	Anthony Lagoon, Northern Territory, Australia
	AYU		Aiyura Airport	Aiyura, Papua New Guinea
	AYW		Ayawasi Airport	Ayawasi, Indonesia
	AZB		Amazon Bay Airport	Amazon Bay, Papua New Guinea
	AZG		Pablo L. Sidar Airport	Apatzingán, Michoacán, Mexico
	AZP		Atizapan Airport	Mexico City, Mexico
	AZT		Zapatoca Airport	Zapatoca, Colombia
	BAA		Bialla Airport	Bialla, Papua New Guinea
	BAC		Barranca de Upia Airport	Barranca de Upia, Meta, Colombia
	BAJ		Bali Airport	Bali, West New Britain, Papua New Guinea
	BAP		Baibara Airport	Baibara, Papua New Guinea
	BAR		Baker Army Airfield (abandoned)	Baker Island, United States Minor Outlying Islands
	BAW		Biawonque Airport	Biawonque, Gabon
	BBE		Big Bell Airport	Big Bell, Western Australia, Australia
	BCC	Z48	Bear Creek 3 Airport (FAA: Z48)	Bear Creek, Alaska, United States
	BCG		Bemichi Airport	Bemichi, Guyana
	BCK		Bolwarra Airport	Bolwarra, Queensland, Australia
	BCP		Bambu Airport	Bambu, Papua New Guinea
	BCQ		Brack Airport	Brack, Libya
	BCS	65LA	Southern Seaplane Airport (FAA: 65LA)	Belle Chasse, Louisiana, United States
	BCU		Bauchi Airport	Bauchi, Nigeria
	BCV		Belmopan Airport	Belmopan, Belize
	BCW		Benguera Island Airport	Benguera Island, Mozambique
	BCZ		Milyakburra Airport	Milyakburra, Northern Territory, Australia
	BDF	3IS8	Rinkenberger RLA Airport (FAA: 3IS8)	Bradford, Illinois, United States
	BDY	S05	Bandon State Airport (FAA: S05)	Bandon, Oregon, United States
	BDZ		Baindoung Airport	Baindoung, Papua New Guinea
	BEA		Bereina Airport	Bereina, Papua New Guinea
	BEE		Beagle Bay Airport	Beagle Bay, Western Australia, Australia
	BER		All airports in Berlin (designated for new Berlin-Brandenburg International Airport)	Berlin, Germany
	BFC		Bloomfield Airport	Bloomfield, Queensland, Australia
	BFG	U07	Bullfrog Basin Airport (FAA: U07)	Glen Canyon, Utah, United States
	BFQ		Bahia de Piña Airport	Bahia de Piña, Panamá
	BGG		Bongouanou Airport	Bongouanou, Côte d'Ivoire
	BGK		Big Creek Airport	Big Creek, Belize
	BGP		Bongo Airport	Bongo, Gabon
	BGS		Webb Air Force Base (closed 1977)	Big Spring, Texas, United States
	BGT	E51	Bagdad Airport (FAA: E51)	Bagdad, Arizona, United States
	BGV		Bento Gonçalves Airport	Bento Gonçalves, Rio Grande do Sul, Brazil
	BGW		Baghdad International Airport	Baghdad, Iraq
	BHC		Bhurban Heliport	Bhurban, Pakistan
	BHG		Brus Laguna Airport	Brus Laguna, Honduras
	BHL		Bahía de los Ángeles Airport	Bahía de los Ángeles, Baja California, México
	BHT		Brighton Downs Airport	Brighton Downs, Queensland, Australia
	BHW		Bhagatanwala Airport	Sargodha, Pakistan
	BHZ		All airports	Belo Horizonte, Minas Gerais, Brazil
	BII		Bikini Atoll Airport	Bikini Atoll, Marshall Islands
	BIJ		Biliau Airport	Biliau, Papua New Guinea
	BIP		Bulimba Airport	Bulimba, Queensland, Australia
	BIW		Billiluna Airport	Billiluna, Western Australia, Australia
	BIZ		Bimin Airport	Bimin, Papua New Guinea
	BJG		Bolaang Airport	Bolaang, Indonesia
	BJN		Bajone Airport	Bajone, Mozambique
	BJS		All Airports	Beijing, China
	BKF		Brooks Lake Sea Plane Base	Brooks Lake, Alaska, United States
	BLD	61B	Boulder City Municipal Airport (FAA: 61B)	Boulder City, Nevada, United States
	BMH		Bomai Airport	Bomai, Papua New Guinea
	BMQ		Bamburi Airport	Bamburi, Kenya
	BMZ		Bamu Airport	Bamu, Papua New Guinea
	BNF		Warm Springs Bay Seaplane Base	Baranof, Alaska, United States
	BNM		Bodinumu Airport	Bodinumu, Papua New Guinea
	BNQ		Baganga Airport	Baganga, Davao Oriental, Philippines
	BNT		Bundi Airport	Bundi, Papua New Guinea
	BNV		Boana Airport	Boana, Papua New Guinea
	BNZ		Banz Airport	Banz, Papua New Guinea
	BOQ		Boku Airport	Boku, Papua New Guinea
	BOT		Boset Airport	Boset, Papua New Guinea
	BOV		Boang Airport	Boang, Papua New Guinea
	BPB		Boridi Airport	Boridi, Papua New Guinea
	BPD		Bapi Airport	Bapi, Papua New Guinea
	BPK		Biangabip Airport	Biangabip, Papua New Guinea
	BPU		Beppu Airport	Beppu, Kyūshū, Japan
	BQV		Bartlett Cove Seaplane Base	Bartlett Cove, Alaska, United States
	BRH		Brahman Airport	Brahman, Papua New Guinea
	BRJ		Bright Airport	Bright, Victoria, Australia
	BRP		Biaru Airport	Biaru, Papua New Guinea
	BRZ		Borotou Airport	Borotou, Côte d'Ivoire
	BSP		Bensbach Airport	Bensbach, Papua New Guinea
	BSQ	P04	Bisbee Municipal Airport (FAA: P04)	Bisbee, Arizona, United States
	BSW	AK97	Boswell Bay Airport (FAA: AK97)	Boswell Bay, Alaska, United States
	BTD		Brunette Downs Airport	Brunette Downs, Northern Territory, Australia
	BTO		Botopasi Airport	Botopasi, Suriname
	BUE		All Airports	Buenos Aires, Argentina
	BUH		All Airports	Bucharest, Romania
	BUK		Albuq Airport	Albuq, Yemen
	BUL		Bulolo Airport	Bulolo, Papua New Guinea
	BUU		Buyo Airport	Buyo, Côte d'Ivoire
	BVP		Bolovip Airport	Bolovip, Papua New Guinea
	BVW		Batavia Downs Airport	Batavia Downs, Queensland, Australia
	BWJ		Bawan Airport	Bawan, Papua New Guinea
	BWL	6OK6	Earl Henry Airport (FAA: 6OK6)	Blackwell, Oklahoma, United States
	BWP		Bewani Airport	Bewani, Papua New Guinea
	BWS	4W6	Blaine Municipal Airport (FAA: 4W6)	Blaine, Washington, United States
